"customer_id","r_score","f_score","m_score","recency_date","frequency","monetary","segment"
"16954",1,1,1,1,9,2085.08,Champions
"15311",1,1,1,1,118,59419.34,Champions
"12985",1,3,2,1,3,1215.62,others
"12662",1,1,1,1,12,3817.08,Champions
"16705",1,1,1,1,29,13946.13,Champions
"17581",1,1,1,1,31,10736.11,Champions
"14446",1,2,2,1,4,1039.58,Loyal
"15498",1,1,1,1,35,12396.46,Champions
"17754",1,2,2,1,6,1739.92,Loyal
"18102",1,1,1,1,62,256438.49,Champions
"12680",1,2,3,1,4,862.81,Loyal
"14441",1,1,2,1,10,1545.14,Loyal
"17428",1,1,1,1,33,17078.45,Champions
"15804",1,1,1,1,19,3848.55,Champions
"17001",1,1,1,1,11,3989.57,Champions
"17389",1,1,1,1,43,31300.08,Champions
"17490",1,1,2,1,11,1926.88,Loyal
"12433",1,1,1,1,7,13375.87,Champions
"12713",1,4,3,1,1,848.55,others
"13069",1,1,1,1,27,3717.82,Champions
"17315",1,1,1,1,43,6204.46,Champions
"12518",1,2,1,1,5,2056.89,Loyal
"14422",1,2,1,1,6,4263.64,Loyal
"13777",1,1,1,1,41,25748.35,Champions
"15694",1,1,1,1,15,6423.60,Champions
"14397",1,1,1,1,23,2556.68,Champions
"15344",1,2,3,1,5,476.58,Loyal
"17364",1,1,1,1,12,4455.73,Champions
"16626",1,1,1,1,20,4379.65,Champions
"14051",1,1,1,1,26,15477.34,Champions
"13426",1,1,1,1,12,3550.70,Champions
"16558",1,1,1,1,24,8257.04,Champions
"12526",1,3,2,1,3,1316.66,others
"12423",1,1,2,1,9,1849.11,Loyal
"16446",1,3,5,1,3,2.90,others
"15910",1,1,2,1,8,1232.18,Loyal
"12748",1,1,1,1,224,29072.10,Champions
"13113",1,1,1,1,40,10510.00,Champions
"14646",1,1,1,2,77,279489.02,Champions
"15443",1,1,1,2,8,3212.16,Champions
"13408",1,1,1,2,81,27487.41,Champions
"14719",1,2,2,2,6,1592.18,Loyal
"13298",1,5,4,2,1,360.00,New
"13013",1,1,1,2,15,4786.99,Champions
"14135",1,1,1,2,15,4690.31,Champions
